,Question,Answer
143,What new services will emerge from 5G?,"5G will potentially be able to handle more than 1million connected devices per square kilometer. This opens new opportunities for Smart Cities and Smart Homes. Other near-term services would include Realtime Gaming, and new opportunities in Entertainment with Virtual Reality and Augmented reality.
"
144,What’s a “Smart City” and how will 5G impact my community?,"Smart cities employ use of electronic Sensors and Measurements to provide services and respond to challenges. For example, utility companies can have IoT meters to alert home owners on upcoming bills or to alert the utility company on leakages. Activity triggered sensors can alert in case of vandalism in isolated locations. Smart traffic lights can respond to traffic situation rather than work on a timer. Street lights can be controlled to respond not only to daylight hours, but also environmental situation e.g. Narrower streets can light sooner etc.
"
145,How will 5G change transportation?,"There are opportunities in both traffic control and driverless cars. For the former, traffic information such as alerts on traffic jams, suggestions of alternative routes, real time traffic monitoring etc. are some of the use cases and for the latter we can’t reach the full promise of autonomous vehicles without 5G. For these cars to react to road conditions immediately, their sensors need to be able to send and receive data with low latency. 5G has the potential to cut latency down to less than 10 milliseconds, many times faster than the blink of an eye.
"
146,Will 5G Improve healthcare?,"There are several opportunities in Health care as well. 5G could elevate virtual healthcare to new levels, enabling even more effective remote care for those who need it most. There is already ongoing research on capabilities such as remote surgeries by use of Robots and the 5G network.
"
147,Are 5G antennas a health concern?,"All equipment used for 5G must comply with stringent safety standards. Those standards have wide safety margins and are designed to protect everyone, including children. Everyday exposure to the radio frequency energy from 5G small cells will be well within those safety limits and is comparable to exposure from products such as baby monitors, Wi-Fi routers, and Bluetooth devices.
"
148,I have heard that 5G small cells cause COVID-19. Is that true?,"It is scientifically impossible for radiofrequency waves at any frequency to create a virus, including radio waves used to provide 5G. The World Health Organization and the CDC have been clear about the origins of this virus: The WHO says, “Coronaviruses are zoonotic, meaning they are transmitted between animals and people.” The CDC says coronaviruses are a large family of viruses that are common in people and many different species of animals, including camels, cattle, cats, and bats
"
149,What is Baze?,"Baze is a Mobile First, video on demand service that offers you a vast selection of local and regional short form videos in Entertainment, Music, News, Sports.
"
150,What kind of content is available on Baze?,"Baze has a wide selection everyone’s favorite local comedies, drama & lifestyle shows Bollywood, Nollywood and so much more.
"
151,How can I access Baze?,"You can access Baze on your mobile phone, go to your browser and key www.baze.co.ke Register with your name and Mobile Phone number. You will need a subscription to watch content on Baze.
"
152,How much is a Baze Subscription?,"There are two Subscriptions. A Daily content only subscription at Ksh 10 and a Daily Combo (Content + Data) subscription at Ksh 20 with 200MB.
"
153,How can I purchase the Baze Subscription?,"By dialing *544*35#
"
154,How can I opt out of automatic renewal on the Baze Subscription?,"Customers will get a daily Pass of 200MB.
"
155,How much data do I get with the Baze Pass?,"No, Baze pass bundles will be restricted to Partner App URLs and any browsing outside Baze will be charged from the customer’s bundle or their airtime.
"
156,Can I use my Baze Pass to browse on other sites?,"Yes, you can, and you will have both the bundle and subscription extended by the most recent purchase.
"
157,Can I purchase more than one Baze pass per day?,"No, the bundle resources are not transferable
"
158,Can I sambaza my Baze Pass?,"No, the content subscription will expire after the validity period
"
159,Does the Baze Pass roll-over?,"The bundles will be availed to both Prepay, Post-pay and Hybrid customers via *544*55# , Safaricom App & Web.
"
160,Who is eligible for this product?,"Yes, you can access Baze with a normal bundle.
"
161,Can I use my normal bundles to access Baze?,"Yes
"
162,Are all browsers supported?,"Yes, You can access Baze over WIFI.
"
163,Am I able to access Baze over WI-FI?,"Yes, a User will be able to share the same account if they get access to the OTP..
"
164,How can I purchase the new data bundles?,"The new data plans are available on *544#, *555#, mySafaricom app, Blaze app and www.safaricom.com/bundles.
"
165,Who can purchase the new data bundles?,"The new data bundles are available to all Safaricom customers (Prepay, Postpay and Hybrid)
"
166,What can I use to purchase the new data bundles?,"You can purchase the new data bundles using Airtime, M-PESA and Bonga points.
"
167,Can I purchase the new bundle for another number?,"Yes you can purchase for other number the Weekly, Monthly and All in one bundles.
"
168,Can I extend expiry for the new data bundles?,"Yes you can extend expiry by purchasing a similar bundle before expiry of your current plan with the longest validity being assumed. Daily Bundles can roll over if you buy another daily bundle. Weekly /Monthly to roll over if you buy another weekly / monthly bundle
"
169,What happens if I have set automatic renewal ?,"All customers with automatic renewals will receive the new bundles as from Tuesday 29th March 2022
"
170,Can other people confirm my name before sending money?,"Please note that other customers will also not be able to confirm your name when you opt out of the service.
"
171,What are Data Roaming Bundle?,"
Data roaming bundles will allow customers enjoy affordable browsing rates while roaming in South Africa, China, Netherlands, Ghana, Canada, Congo The Democratic Republic, Greece, Hungary, Ireland, Mexico, New Zealand, Nigeria, Qatar, Romania, Rwanda, Seychelles, Sri Lanka and Uganda.
LITE
HEAVY
BUNDLES
COST
BUNDLES
COST
DAILY
20 MB
225/-
50 MB
550/-
WEEKLY
100 MB
1,100/-
200 MB
2,100/-
MONTHLY
500 MB
5,200/-
1,000 MB
10,300/-

"
172,Who is eligible?,"
Prepay, PostPay and Hybrid customers can purchase data roaming bundles.

"
173,How can I purchase the Data Roaming Bundles?,"
Customers can purchase the data roaming bundles via USSD

"
174,When can I purchase the Data Roaming bundles?,"
Customers can purchase the data roaming bundles before leaving for their destination or upon arrival.  Bundles will only be used or consumed when roaming on Safaricom partner networks.

"
175,What are the available mode of payment?,"
Customers can purchase the data roaming bundles using M-PESA or Airtime

"
176,"I have a PostPay number, can I use M-PESA as a mode of payment?","
Post pay customers can use M-PESA payment option when buying data roaming bundles for another prepay number. Purchases for self on PostPay will only be done via airtime.

"
177,What is the validity of the data roaming bundles?,"
Customers will enjoy validity based on the data bundles purchased

"
178,Can I extend expiry of my data roaming bundles?,"
All bundles will have rollover but rollover will be conditional as below:

"
179,Can I transfer my data roaming bundle resources?,"
Customer can be able to buy for another number, but will not be able to transfer available data roaming bundle resources.

"
180,How can I check my data roaming bundle balance?,"
Customers will check their data roaming bundle balance via *100*50# or *200*50#

"
181,"I bought the data roaming bundles by mistake, can I reverse the transaction?","
Subscribers will not be able to reverse their data roaming bundle purchases.

"
182,"I bought the heavy data roaming bundles and did not exhaust while away, can I use the reminder once back in the country?","
Customers will only be able to enjoy the data roaming bundles while browsing using the partners network, they will be required to purchase data bundles when within the country via *544# to enjoy affordable browsing.

"
183,What is the Safaricom Digital TV & Internet Box?,"Digital TV & Internet is a smart Set-Top Box powered by Android that provides you with the simplest way to stream movies and TV shows to your TV. You can also play games, watch Live TV and much more
"
